Protein	Pool_01	Pool_02	Pool_03	Pool2_01	Pool_04	Pool_05	Pool_06	Y_1011	Y_1019	Y_1028	Y_1123	Y_1036	Y_1042	Y_1068	Y_1035	Y_1048	Y_1058	Y_1098	Y_1034	Y_1055	Y_1064	Y_1006	Y_1007	Y_1027	Y_1121	M_2044	M_1024B2	M_2107	M_2113	M_2095	M_3062	M_2112	M_2025	M_2066	M_2071	M_3020	M_3099	M_5080	M_1026B2	M_2094	M_5050	M_1002B2	M_1016B2	O_4041	O_1004B2	O_1006B2	O_4017	O_4031	O_4032	O_4033	O_5085	O_5102	O_4024	O_4093	O_5079	O_1008B2	O_1028B2	O_4127	O_5040	O_5119	O_4129	O_5015	O_5047	O_5070	O_5082	VO_6115	VO_1012B2	VO_6111	VO_1001B2	VO_1015B2	VO_7057	VO_1009B2	VO_1023B2	VO_1025B2	C_7078	C_7092	C_7128	C_7076	C_7106	C_1003B2	C_7081	C_7116	C_7126	C_7130	C_8039	C_7023	C_7030	C_7067	C_7125	C_9038	C_1005B2	C_6108	C_1027B2
sp|P01024|CO3_HUMAN	35.3990294017924	35.5059188362138	35.5013048460731	35.614962599637	35.5681869482446	35.5110171613847	35.5815313076036	35.8285866560769	35.7016940606913	36.006507092942	35.7587433893685	35.6602639998452	35.6417049608051	35.7033082354897	35.6902073192654	35.3648428282178	35.6215948997884	35.4898962086803	35.6805475819216	35.2893905448509	35.7603769643077	35.4136012369923	35.8888162405672	35.3718099674074	35.6986825872169	35.8304436385755	35.6507498557227	35.9072591907087	35.8484363244273	35.7319624346495	35.9606031568612	35.6247888325621	35.8438665691072	35.87988788237	35.5868256709773	35.4235498820111	36.2272274329623	35.5828810288585	36.1003795720382	35.9634882579933	35.6959247200889	35.9112848646703	35.8777609085272	35.752397360987	35.9861029096218	35.9164876664809	35.5302594560973	36.0081781879699	35.9286403862715	35.6323658444038	35.6545076544299	35.8382000727561	35.1894180014496	35.6150895106578	35.6104309034405	35.3316673727097	36.237835541233	35.8403680254342	36.0274887096484	35.4759199771521	35.4189773916661	36.0528755163816	35.5114369442774	35.5564185064762	35.5269848964753	35.048592456014	35.3086273618662	35.7905792550783	35.6305472859538	36.0594454469299	35.4160046535407	35.206351697311	35.0164736719141	35.1217707716213	35.418028562553	35.7691054437809	35.6987724038747	36.1323441203469	35.7624789174135	34.7777484431876	35.5627563687434	35.7262895823322	35.7074361768983	35.5299651509228	35.5919250892894	35.3740957074152	35.584856923942	35.6334440164039	35.4989314385338	35.7067183090712	35.6438847835809	35.6565081314977	35.9166079797007
sp|P00736|C1R_HUMAN	28.9187380967773	29.0228828887095	29.0517648812741	28.7951185278104	28.9003713144671	28.8421282202203	28.9026783720578	28.8083914192875	28.8406938619865	28.7649395041546	28.691978485554	28.5530123766711	28.9152547012867	29.0897428961983	29.0304668170305	28.6376509549638	28.702859625493	28.6479222155487	28.6364993521887	28.8174121272176	28.5682304310473	28.3641945047047	28.9667828403313	28.4521298949065	28.954066476479	28.8175469379822	28.8870648668958	28.8514499066658	28.5505837862571	29.2571326557138	28.8971321232692	28.9978980159457	28.6370681817205	28.8111879031397	28.9946400071503	29.2050715741665	28.877706521638	28.8486083077513	28.9972504138018	29.0259800154822	29.0338769042021	29.0849343257526	28.7981597689837	28.8411264466265	28.9566099563769	28.9421379117491	28.9598901089532	29.118947640235	28.7855093452893	28.8232888193064	28.7978502432696	28.8699791611036	28.6557241948203	28.8745413448032	29.4369101050031	28.7777652710145	28.6701292766608	28.4549545431007	28.7964124224179	28.5750943331114	29.2396091496797	29.3588194531145	28.8434580612925	29.0116228277506	28.700990313756	28.612950832195	29.0124484113127	28.2507775134352	28.9511804466083	28.9457336961849	29.186675433991	28.9128881737788	28.8681377897819	28.4399021332538	28.9541410849699	28.968001838311	29.0963965062222	28.8585104951743	29.0850585868528	29.3437321986758	28.7825334506487	28.7189283096882	29.2074121497267	28.6898111654074	28.9688786032586	29.0677583066456	28.6042680553861	28.3330426119287	28.9712676236431	28.9681629923912	29.0309839194577	28.8619899876621	28.9914140518403
sp|A0A0C4DH68|KV224_HUMAN	29.0009386213184	28.9443053130325	28.8431847096188	29.0648150539712	29.1343849378654	29.123135598218	29.0485677889081	28.5985379312746	29.5373154191157	29.5141309246027	28.9765423396159	29.922788227342	28.2391040690271	29.3673253342568	29.8845802825929	29.8058892320728	29.6013709494835	29.4148800021204	29.5977299709822	29.769701744882	29.0406097815694	29.391366500557	28.3362032056873	29.1268944935104	28.9475850191498	29.4571612934521	29.0296645895402	29.013209912015	29.4219400568503	28.5675869579297	28.5370393699217	28.3366205170351	29.1376784761365	30.0001678604614	28.0897597601761	28.3490150399653	28.6817692549696	29.644668591835	28.4574452209568	28.0863598387051	30.0297729611422	28.8923244622028	28.9169601017867	28.6584913282358	28.3564819271992	29.6851923465762	28.3374282923121	28.0851202118221	28.6335556250266	30.2053751638695	28.4892140723805	27.7976320684426	28.261284776754	28.5297510692766	29.7284625423104	29.453903169255	28.9731815953618	29.3233279644384	28.4375675972529	28.6964024078832	28.4684333707183	29.1469238129457	29.1645883059341	28.0309624084905	29.4897007388936	28.4397123500865	27.8853370596778	29.0520913049167	28.9820980029956	29.3597289907809	29.1251873463841	28.791121303409	27.593592907161	29.3331395868728	29.4954063577995	29.4340277590786	28.5739991433891	27.7534114490526	28.4755346444141	28.333361522309	29.2775785495599	28.2047590142943	29.1727751937822	29.9438348677287	28.3243148995366	31.6996090599449	28.2132061817138	29.7467842883491	27.916302286219	29.8969229699211	28.5025935734232	29.0774368045537	28.73810172642
sp|P0DP01|HV108_HUMAN	20.3098514883563	20.5609723876828	19.4198648062795	18.471630372939	19.8706258110276	19.5028629443652	19.8717375038619	20.7412613198741	21.6352486599678	21.9284892493716	19.7436781204295	19.1218187323542	20.6320316818602	22.7288562502379	21.9894510955208	22.0994981260229	21.1072192442495	21.2301100670831	23.1522732983731	21.6730451352697	23.1201100657226	21.4372530938878	18.6289116762929	21.8270985584239	18.7999299471608	21.0967064990777	21.9984227632562	21.9877406324922	21.0682930899183	NA	19.2687504170256	NA	21.3454864715641	21.1565408848103	NA	NA	20.6764242766154	19.4824207890842	21.1778466028946	NA	22.3650276389863	19.1840910523661	21.3927213562289	19.0945881615839	18.9210336796483	20.5354502980655	18.8353315299343	21.1747916456321	19.0010629571422	20.6948729796662	20.22113199656	16.3369781937638	21.4798578008064	20.6056389327706	NA	18.256160851521	21.4810709217318	20.4774515273807	18.7411192152813	20.0131503049634	20.0293439473618	18.0504625149928	21.3440561749107	18.8014431496551	21.9374713674362	NA	19.2540544536883	20.9023501266517	19.6146163240291	21.2738622971491	20.757117796808	NA	15.4961096848587	20.6818360131491	NA	20.1138186734659	19.0920030559417	17.3413222737925	20.3076890219553	20.9553206988645	22.2317822827369	21.062568117787	21.6251159303587	20.4886528107395	20.9421344329639	17.0641096315263	18.1090376099557	19.476185977463	20.6653103136049	21.7591597210491	20.3855641892903	21.7874355497467	NA
sp|P23083|HV102_HUMAN	25.154210152471	25.1949230643236	25.1287750094207	24.8667883571562	25.0124763873196	25.187260312818	25.3123057978063	26.4106319322435	26.0633736772154	26.2141175787406	24.3311729850501	25.476239728861	24.5806439337898	25.6844686942698	25.8788401044839	25.9135987388941	24.74185825969	25.5366584805935	26.2970102900027	26.4792619700682	27.5863139432443	26.2941280504146	25.9450943420684	25.9819649475001	25.2414780172988	26.2963621145335	25.436650114118	26.3344519303125	25.7624251934208	25.5323634268325	25.9768160704456	24.6875518182199	25.1037356101373	25.4413064784155	24.2952757615043	24.1324387099324	24.9214818358641	25.233430287752	26.2356298114083	26.5058066363516	25.5695180492506	24.7603680232217	24.5918755207532	23.4228650602843	25.8640524463635	24.7778474758207	24.3017853492682	25.8278338725448	25.538158732395	24.9145408333224	24.0653031735953	25.0995029391503	25.974582668721	24.3230003439898	25.4937470868932	24.9959314862205	25.3860172852892	25.7364812275558	24.9738787807071	25.4843569077937	24.6423965299789	24.5643373429343	23.8913181416509	23.8646342680952	26.5035209909537	26.3368113253848	27.3648872959572	24.9548033057413	25.6583091513727	26.9477593278836	25.8644873721071	25.036089457797	23.637255719742	26.1809917589822	25.3882464726636	22.9555544720765	24.4518032361048	26.1449184041581	25.2600907008886	25.1905561660139	26.3353121542336	25.7151298570865	25.7275691575104	25.9584710986545	28.7105179090701	25.1559031270741	24.9305807266973	26.1747188680488	24.9619260813314	26.2711897500325	24.5645952724717	26.2598652859893	23.6890947146822
sp|P00488|F13A_HUMAN	26.7147492774471	26.5438118441987	26.4747378521727	26.8119465873597	26.3948978030453	26.4634457393151	26.5224045448575	27.4013405306459	26.6552412108815	26.4280545328524	26.8968821744618	26.2216125375493	26.7657724310767	26.8391220577866	26.4797961471162	26.887082318804	26.3688830626306	26.7925477357177	26.6272027282737	25.9724705427525	26.2871176437818	26.699572446949	27.4170359957315	26.5284343113506	27.2082111565376	26.484709941982	26.9306392711649	27.1130400021016	26.8834172768956	27.7449066239424	26.9163900531529	26.7228067957521	27.1355483507395	27.7846107233386	26.5740686796619	27.5059607255518	26.6950308650082	26.7080997921299	26.0587990259572	26.9686446749422	26.0628203421185	26.733332630015	26.7678085919605	27.1318949464491	26.5215605556316	27.321908499764	26.4097110072338	26.9959736698571	26.6099127858866	26.8943087026047	26.6225609740988	27.1838196932416	27.1558944771317	27.2939243277065	26.8922248152965	26.573520478704	26.8912914695651	26.5229297281821	27.0838261385858	26.3707976679321	26.8601370557091	26.5482460534153	26.7876134373603	26.80110535029	26.6780940932029	26.348738196362	26.1668857357345	27.1269737555907	26.4256490686018	26.3736638062379	26.0046037452699	26.6150116264274	25.6334896526802	26.368534239396	26.5635054046255	26.1136098259308	26.3795061261522	25.9930086761063	26.8928435253076	27.3401604762383	26.2751656852718	27.2220630304828	26.3375064772993	27.0609960389425	25.9330096989311	26.2367047957523	26.1611016896777	26.5648417775966	27.4214007143355	25.7376731518965	26.8176693130554	26.468739550661	25.9965829016379
sp|P12259|FA5_HUMAN	27.1131337457353	27.1486520249391	27.1125641658134	27.0397825372266	27.0821200359899	27.178251605606	27.1812876967267	27.4015413080873	27.1573224030961	26.8828453481171	26.9640599007757	26.1992957878523	26.8445834128424	26.650403576534	27.2382187765653	26.7745741830264	26.7775867707497	26.561411581995	26.9087049022101	26.7809470572878	27.2749128056103	26.8863850238904	26.9551047508359	26.574998149461	26.5581983985519	26.657382285885	26.9130787678758	27.3906362818233	27.400120363339	26.8135943410877	25.5482415907278	27.258136291926	27.0087611942926	26.8595570919191	26.447661684252	27.4087708000941	27.3864674623158	27.7091259268368	27.0648589862718	26.8839890190548	27.4374758687766	27.3493696791136	27.3356766424675	27.787504672365	26.8822643165741	27.5096601981197	27.2581648979753	27.2942569657052	26.9014685190735	27.2646556171079	27.7758568129308	27.1511889843232	27.267588619224	27.0328849959454	28.217681783067	27.3502464520086	27.3830520458541	26.3235301914598	27.1362068888981	26.9473946704236	27.5931939785472	27.3365746787774	27.2406325745155	27.6855267562728	27.4325484055434	27.5990343425579	27.3148565860367	27.4583073277882	26.6346668737775	27.4994441856367	27.4617665730065	27.0763416566206	26.871146883798	26.4224095019856	27.6929798261346	27.5030388784369	27.9243637888244	27.5218268045026	28.0303388475028	27.8443759402728	27.3099278897625	27.8076277150971	27.9893896174526	27.339232024288	27.2148078254948	27.3789586983692	27.6284487479632	26.5426702818985	27.4092761520177	27.2341383814447	27.4770139925855	27.2189514407532	27.7059172488005
sp|P36955|PEDF_HUMAN	29.4543280744074	29.4171867841837	29.3828544381997	29.2443066503184	29.3609910401484	29.4225688785128	29.4462711302687	29.4402650990535	29.6245679764791	29.1488933271197	28.9989671079475	28.9508573905912	29.1874180268454	29.2544926648315	29.2008801200004	28.8064573844794	29.3366132797423	29.2116726646758	28.4093286135618	29.267070403098	29.5485476392784	28.8452613343511	29.636783458898	28.6538922179407	29.3130404336223	29.0593220228254	29.3656809481873	29.6317566618814	29.0566747668085	29.1765752537438	29.6322031454963	29.2445961003975	29.475523848426	29.1962519854309	29.3802259177671	29.2425578272732	29.4312541868859	29.6065353747957	29.3504548050731	29.1639112993208	29.0081598584931	29.2536310390197	29.2863922488389	29.602405220626	29.5246882774781	29.2748499498182	30.0049252711229	29.4812009957816	29.275199871047	29.1159294623421	29.6632249515503	28.9488645685457	29.2570160223064	29.6762746448832	29.699239081181	29.0489227352374	29.6238158436919	29.0651445531237	29.3622478279388	29.9235641487801	29.3609076507941	29.2275509585255	29.1066866495934	29.8062056399773	27.8569205110907	29.144954679826	29.996198788974	29.2391243901491	29.2193987046425	29.6371070719313	29.3844773320993	29.8243110127503	29.6748313768807	28.806044433938	29.5557336272789	29.2779713330551	29.3613233881409	29.5132232517555	30.0284218650064	29.9081770952035	28.9705586189991	30.2007087868811	29.924394148484	29.4006495823648	29.3440709154471	29.2318138773843	29.4352258566768	29.3459008611	29.2466655738346	29.2766897005242	29.8408871638144	29.8982163419788	29.6563523417096
sp|P00915|CAH1_HUMAN	26.8774302223128	26.83657721421	26.8534415735611	27.2469463402762	26.8158096928951	26.8777811334035	27.0180496908505	26.8675395900906	26.7708633781441	26.1007478080508	27.0864680161492	26.962684829658	26.4170495907853	27.1554853655803	26.1941619940619	25.4292070465178	27.1431626477264	26.9404528467042	25.4482839722179	27.0088277849007	25.6758697403695	25.6991681115147	28.1144480110992	25.8693872783403	28.1839962857894	25.3895007607892	27.5340920761618	26.6003286180842	26.5656332584036	26.3502589141462	26.5832001145016	26.2878710993507	26.3112050459134	24.8990748019543	26.0404735129471	27.1689775428452	25.590997751399	28.2030182684199	27.8747156110424	24.7156819901704	24.8316096185009	28.1138455778716	27.8172493160867	26.3634085244572	27.9361125851211	27.0168410407496	27.4186933250745	24.2603042538375	26.724150884245	26.4633991547692	25.453847603851	26.2609290709072	26.655393271577	26.4060221640097	25.4848908382566	28.3289099011526	27.9814167081675	27.7876867094994	25.4319922864797	26.6651037602309	28.645882214676	27.2566192923751	25.7491633240051	27.9260617173756	25.4481348720648	26.7002742558677	27.1181116194972	26.3928995206964	27.4835501603228	26.8284966510603	25.4973719907618	29.0153198974914	27.4575496301288	26.2921905937119	26.1386474553402	24.7293685651058	29.313691522036	26.3910557735307	26.7232587836316	25.9638568220005	26.8531776436634	28.0660213436216	26.4606716155944	27.7823924318431	28.4477115851912	27.3005669562278	26.0174629166177	26.2969930436309	26.8374906464242	27.3556938012406	26.1211605151503	26.2286945804214	26.1921127307368
sp|P0C0L4|CO4A_HUMAN	29.1224071328504	29.0631261138139	28.9541702716404	28.4678735204941	28.9012753786368	28.8089440784112	28.6930314557521	22.5812945810654	27.6887398109724	26.9723993135294	27.6905932250704	28.2747506959071	29.3065177685775	28.9757766716195	28.6931948041279	28.2916004645461	28.0358758290703	28.0236033845722	26.7565600390592	26.8023407943921	27.9949127545222	28.4366276475785	27.5356069922453	29.2093641370624	28.1591268440009	28.2676619549541	28.6651685992004	28.569209088591	28.3850874606686	29.2428022108636	28.719922225195	29.1200547873225	28.4294060759955	28.9359333083383	29.8061788710606	28.9900640965003	29.1478464130253	29.0298344175391	28.0189590707582	29.3603944566618	27.0047782570165	28.679527291559	27.6390615098136	27.5713693499797	27.0499674579858	28.7065173568117	27.7411891606967	29.9860594750592	27.6694574986294	27.3425060497243	28.0208892207704	28.7896664061907	27.6937678025227	28.8767851451309	29.0168783922453	28.869745373114	28.0066848409985	28.2071477214614	29.0365188697641	27.5922778676225	28.1634240113463	28.5174460071912	27.2394724978954	28.5094835977707	27.0425722606539	27.3023111826385	28.8763276281687	28.6442086930162	29.5310072547957	29.0452435068316	29.1533130870956	28.4296323740175	29.1359155784682	28.6190799696121	29.0565381428532	28.3638164910293	28.5200024622805	28.4133614250671	27.1743236472343	27.5814216405418	28.0645603391378	28.5465314660856	29.3957034771961	27.8393124546538	29.4837904178458	29.3234254296347	28.6027002191504	28.4828629116751	29.5226276798713	29.6647082527037	29.0063685100913	29.5943720637099	28.2929808618003
