sample	group
Pool_01	p
Pool_02	p
Pool_03	p
Pool2_01	p
Pool_04	p
Pool_05	p
Pool_06	p
Y_1011	y
Y_1019	y
Y_1028	y
Y_1123	y
Y_1036	y
Y_1042	y
Y_1068	y
Y_1035	y
Y_1048	y
Y_1058	y
Y_1098	y
Y_1034	y
Y_1055	y
Y_1064	y
Y_1006	y
Y_1007	y
Y_1027	y
Y_1121	y
M_2044	m
M_1024B2	m
M_2107	m
M_2113	m
M_2095	m
M_3062	m
M_2112	m
M_2025	m
M_2066	m
M_2071	m
M_3020	m
M_3099	m
M_5080	m
M_1026B2	m
M_2094	m
M_5050	m
M_1002B2	m
M_1016B2	m
O_4041	o
O_1004B2	o
O_1006B2	o
O_4017	o
O_4031	o
O_4032	o
O_4033	o
O_5085	o
O_5102	o
O_4024	o
O_4093	o
O_5079	o
O_1008B2	o
O_1028B2	o
O_4127	o
O_5040	o
O_5119	o
O_4129	o
O_5015	o
O_5047	o
O_5070	o
O_5082	o
VO_6115	v
VO_1012B2	v
VO_6111	v
VO_1001B2	v
VO_1015B2	v
VO_7057	v
VO_1009B2	v
VO_1023B2	v
VO_1025B2	v
C_7078	c
C_7092	c
C_7128	c
C_7076	c
C_7106	c
C_1003B2	c
C_7081	c
C_7116	c
C_7126	c
C_7130	c
C_8039	c
C_7023	c
C_7030	c
C_7067	c
C_7125	c
C_9038	c
C_1005B2	c
C_6108	c
C_1027B2	c
