ID	p.Age	q.Age	Coefficient.Age	p.Sex	q.Sex	Coefficient.Sex	p.Cohort	q.Cohort	Coefficient.Cohort.Interval2	Coefficient.Cohort.Longenity.OPEL	Coefficient.Cohort.Longenity.OPUS
ARFIP2.12630.8.3	6,63E-262	6,47E-259	0,005608723	3,70E-46	1,32E-44	0,056647989	1,59E-22	1,60E-20	0,017888775	-0,051946058	-0,065671501
GDF15.4374.45.2	2,33E-252	1,71E-249	0,00525838	0,005350179	0,011498364	0,010473478	5,41E-14	1,41E-12	0,005665855	0,043778129	0,058573291
MLN.5631.83.3	6,26E-214	3,66E-211	0,009485893	0,018644343	0,03504801	0,017532905	0,006199257	0,01215337	0,015705516	-0,035935382	-0,034857168
IGDCC4.9793.145.3	2,48E-212	1,21E-209	-0,003674218	1,66E-06	6,98E-06	0,013901883	1,14E-12	2,42E-11	-0,020429525	0,011694254	0,025881781
RET.3220.40.2	1,21E-187	5,07E-185	-0,004679486	0,000340441	0,000971502	-0,014182699	7,99E-11	1,24E-09	0,030027389	0,031208012	-0,00088121
PTN.3045.72.2	6,12E-183	2,24E-180	0,003171758	1,95E-52	8,39E-51	-0,04201515	4,68E-73	1,37E-69	-0,007866864	0,048407661	0,098852927
CGA.LHB.2953.31.2	4,97E-176	1,62E-173	0,008592079	4,35E-305	2,12E-302	-0,305662515	7,21E-33	1,92E-30	0,024306778	-0,175284347	-0,097867304
SCARF2.8956.96.3	1,93E-163	5,64E-161	0,002469609	0,006793908	0,014174165	-0,006103732	1,94E-09	2,22E-08	-0,003024289	0,005945648	0,02773073
MSMP.8080.24.3	2,04E-156	5,44E-154	-0,005261223	5,76E-11	3,98E-10	0,032303026	9,89E-21	7,82E-19	-2,03E-05	0,060775896	0,09469768
CGA.CGB.4914.10.1	9,77E-153	2,38E-150	0,010395884	9,40E-254	3,44E-251	-0,359238614	3,42E-19	1,85E-17	-0,012487308	-0,188306695	-0,075023596
COL11A2.11278.4.3	1,55E-141	3,50E-139	-0,004193358	0,796262847	0,8414266	0,001069388	4,62E-14	1,23E-12	-0,015178049	0,034730687	0,057528912
C1QTNF3.7251.64.3	8,75E-139	1,83E-136	0,002311016	0,001102469	0,002808991	-0,007533234	0,000579217	0,001592302	-0,006988416	-0,004453633	-0,017079003
SELL.4831.4.2	4,29E-133	8,36E-131	-0,002327051	1,92E-11	1,41E-10	-0,015995183	4,09E-12	7,91E-11	0,004551194	-0,000453809	0,031567728
SVEP1.11109.56.3	4,18E-114	7,64E-112	0,003016026	1,28E-06	5,48E-06	-0,016239764	1,38E-12	2,89E-11	-0,016739081	0,007951103	0,039040153
CTSV.3364.76.2	1,78E-113	3,07E-111	-0,003628184	2,16E-05	7,64E-05	-0,017180447	2,02E-06	1,14E-05	-0,016156787	-0,022434118	0,015152029
RNASE1.7211.2.3	1,44E-112	2,34E-110	0,005343526	2,72E-05	9,50E-05	0,025100156	5,24E-08	4,40E-07	0,010577158	0,051923852	0,070219879
