Up/Down with age	ID	Description	# Significant in top100	# Annotated in SOMAscan 2.9k	Min fdr	fdr_n10	fdr_n11	fdr_n12	fdr_n13	fdr_n14	fdr_n15	fdr_n16	fdr_n17	fdr_n18	fdr_n19	fdr_n20	fdr_n21	fdr_n22	fdr_n23	fdr_n24	fdr_n25	fdr_n26	fdr_n27	fdr_n28	fdr_n29	fdr_n30	fdr_n31	fdr_n32	fdr_n33	fdr_n34	fdr_n35	fdr_n36	fdr_n37	fdr_n38	fdr_n39	fdr_n40	fdr_n41	fdr_n42	fdr_n43	fdr_n44	fdr_n45	fdr_n46	fdr_n47	fdr_n48	fdr_n49	fdr_n50	fdr_n51	fdr_n52	fdr_n53	fdr_n54	fdr_n55	fdr_n56	fdr_n57	fdr_n58	fdr_n59	fdr_n60	fdr_n61	fdr_n62	fdr_n63	fdr_n64	fdr_n65	fdr_n66	fdr_n67	fdr_n68	fdr_n69	fdr_n70	fdr_n71	fdr_n72	fdr_n73	fdr_n74	fdr_n75	fdr_n76	fdr_n77	fdr_n78	fdr_n79	fdr_n80	fdr_n81	fdr_n82	fdr_n83	fdr_n84	fdr_n85	fdr_n86	fdr_n87	fdr_n88	fdr_n89	fdr_n90	fdr_n91	fdr_n92	fdr_n93	fdr_n94	fdr_n95	fdr_n96	fdr_n97	fdr_n98	fdr_n99	fdr_n100
up	GO:0005576	extracellular region	73	1356	7,616E-08	0,495384615	0,551384615	0,607384615	0,798571429	0,715	0,3575	0,20475	0,097166667	0,105216667	0,060455	0,03717	0,03717	0,023595	0,01178	0,00625	0,0035	0,0019375	0,001032	0,004716	0,00262	0,002882	0,001441	0,0004978	0,0004847	0,000274	0,00011645	4,11E-05	2,29E-05	2,50E-05	1,31E-05	6,39E-05	3,13E-05	6,95E-05	4,02E-05	3,95E-05	1,34E-05	1,49E-05	8,20E-06	3,05E-06	9,66E-06	3,46E-05	2,15E-05	6,79E-05	0,0002001	0,0001218	0,0003293	0,0008188	0,0005187	0,00032025	0,0001953	0,0001209	7,29E-05	4,51E-05	4,51E-05	2,69E-05	1,63E-05	9,60E-06	6,95E-06	7,18E-06	7,18E-06	1,96E-05	7,67E-06	7,35E-06	4,41E-06	1,89E-06	3,89E-06	2,33E-06	2,00E-06	3,77E-06	2,22E-06	2,22E-06	2,00E-06	1,64E-06	9,68E-07	5,85E-07	3,45E-07	2,09E-07	5,75E-07	3,50E-07	2,10E-07	1,26E-07	3,50E-07	2,10E-07	1,25E-07	7,62E-08	2,05E-07	1,31E-07	3,51E-07	8,70E-07	2,12E-06	4,92E-06
up	GO:0005615	extracellular space	40	560	0,000000828	0,495384615	0,551384615	0,607384615	0,798571429	0,715	0,3575	0,1885	0,097166667	0,105216667	0,060455	0,0236	0,0236	0,023595	0,01178	0,005375	0,001625	0,0019375	0,001032	0,002358	0,00262	0,004192	0,001441	0,0004978	0,000917	0,00033565	0,00011645	4,11E-05	2,29E-05	2,50E-05	4,80E-05	9,04E-05	3,13E-05	6,95E-05	4,02E-05	3,95E-05	1,34E-05	2,53E-05	8,94E-06	3,05E-06	9,66E-06	2,25E-05	2,15E-05	6,79E-05	0,0001218	4,52E-05	7,83E-05	0,00012994	0,0002184	0,00032025	0,0001395	5,39E-05	2,06E-05	3,46E-05	3,46E-05	1,34E-05	1,63E-05	8,45E-06	6,95E-06	1,23E-05	1,23E-05	1,96E-05	7,67E-06	1,26E-05	4,83E-06	1,89E-06	3,89E-06	2,33E-06	2,00E-06	3,77E-06	2,22E-06	2,22E-06	2,00E-06	3,26E-06	5,06E-06	2,03E-06	8,28E-07	1,27E-06	2,07E-06	3,15E-06	1,28E-06	1,98E-06	3,03E-06	4,72E-06	6,96E-06	6,98E-06	1,19E-05	1,59E-05	2,26E-05	3,33E-05	4,75E-05	7,94E-05
up	GO:0044421	extracellular region part	61	1096	6,98133E-06	0,607157895	0,807578947	0,642133333	0,91	0,863571429	0,965714286	0,758333333	0,288471429	0,242533333	0,17334	0,111762857	0,111762857	0,121	0,072333333	0,037916667	0,019166667	0,045833333	0,02537	0,056766667	0,1179	0,0655	0,036243333	0,01965	0,01048	0,005936667	0,003105333	0,001644	0,000880333	0,000440167	0,001065667	0,002502	0,001343667	0,002919	0,001598	0,000943667	0,000496667	0,000263233	0,000139067	7,45E-05	0,000182467	0,000413233	0,0002408	0,000522	0,001044	0,00058	0,001246	0,002373333	0,004428667	0,00196725	0,00155	0,000868	0,000511133	0,0002944	0,0002944	0,0001664	9,60E-05	5,18E-05	0,000109367	6,36E-05	6,36E-05	0,0001236	7,00E-05	0,00014	8,40E-05	3,47E-05	7,22E-05	4,05E-05	3,11E-05	4,50E-05	3,40E-05	3,40E-05	6,11E-05	3,83E-05	7,28E-05	3,15E-05	2,36E-05	3,51E-05	6,33E-05	4,08E-05	2,95E-05	1,71E-05	3,18E-05	1,89E-05	1,10E-05	6,98E-06	1,19E-05	1,09E-05	2,01E-05	3,33E-05	4,75E-05	7,94E-05
up	GO:0005578	proteinaceous extracellular matrix	16	128	0,000023575	0,495384615	0,551384615	0,607384615	0,798571429	0,863571429	0,965714286	0,5525	0,288471429	0,3103	0,329254286	0,391602667	0,391602667	0,390766316	0,413478	0,4580625	0,488392857	0,542857143	0,242335714	0,258257143	0,29475	0,324006667	0,350643333	0,127308182	0,14148	0,16988	0,10412	0,12604	0,1529	0,034055	0,0417	0,04865	0,0556	0,066025	0,014805	0,018625	0,02235	0,0048425	0,0055875	0,006705	0,008855	0,010465	0,01333	0,01566	0,01827	0,004089	0,004895	0,005785	0,00728	0,00196725	0,0019065	0,002232	0,00266475	0,003216	0,003216	0,00072	0,0001392	0,0001728	0,000207475	0,0002665	0,0002665	0,00032445	0,00039375	0,00046725	9,98E-05	2,52E-05	3,26E-05	4,00E-05	3,66E-05	4,50E-05	5,33E-05	5,33E-05	6,11E-05	7,88E-05	9,00E-05	2,55E-05	2,36E-05	3,51E-05	4,45E-05	4,08E-05	4,83E-05	5,71E-05	6,99E-05	8,26E-05	9,44E-05	0,00011305	0,0001309	0,00016315	0,00018825	0,000224	0,000265475	0,000304325
up	hsa04080	Neuroactive ligand-receptor interaction	6	54	0,000110512	0,11431569	0,012640582	0,000776676	0,000776676	0,000776676	0,000776676	0,000776676	0,003236704	0,003236704	0,006231839	0,000468662	0,000468662	0,000468662	0,000881351	0,001506897	0,000110512	0,000110512	0,000197522	0,000197522	0,000319825	0,000319825	0,000509269	0,000509269	0,000837455	0,000837455	0,000837455	0,000837455	0,000837455	0,000837455	0,001246934	0,001246934	0,001996564	0,001996564	0,001996564	0,002823288	0,003840045	0,005224708	0,005224708	0,005224708	0,005224708	0,005224708	0,006867459	0,006867459	0,009057666	0,011785469	0,011785469	0,011785469	0,016451841	0,016451841	0,022507506	0,027830689	0,035080521	0,051603639	0,062891008	0,062891008	0,062891008	0,075202552	0,075202552	0,091352958	0,091352958	0,108985044	0,132053571	0,15395936	0,15395936	0,15395936	0,180454511	0,208199728	0,239062679	0,239062679	0,279074035	0,279074035	0,279074035	0,279074035	0,279074035	0,279074035	0,340789924	0,340789924	0,340789924	0,393798005	0,444662611	0,505020698	0,505020698	0,505020698	0,566177531	0,632628457	0,632628457	0,711281768	0,775200458	0,775200458	0,799165267	0,812195559
up	GO:0031012	extracellular matrix	17	178	0,0002226	0,495384615	0,551384615	0,607384615	0,798571429	0,863571429	0,965714286	0,758333333	0,427533333	0,483028571	0,521673636	0,312582	0,312582	0,35607	0,413478	0,4580625	0,462	0,495	0,206517273	0,247709091	0,287192308	0,298276923	0,330724615	0,127308182	0,14148	0,16988	0,10412	0,12604	0,1529	0,041422	0,05004	0,06116	0,07228	0,08618	0,02397	0,0298	0,03576	0,009834	0,01192	0,014602	0,018998	0,02254	0,028896	0,0348	0,040716	0,011484	0,01424	0,017088	0,020748	0,005856	0,007068	0,008556	0,010098	0,012288	0,012288	0,0034944	0,0009216	0,0011136	0,0013896	0,001763	0,001763	0,0021424	0,002604	0,003108	0,00084	0,0002226	0,0002886	0,00035076	0,00042624	0,0005328	0,0006216	0,0006216	0,0007548	9,00E-04	0,00108	0,000297	0,0003634	0,000437	0,000506	0,0006058	0,0007456	0,0008854	0,0010252	0,0012272	0,0014632	0,0017136	0,0019992	0,0024598	0,0028112	0,003328	0,003885	0,0045066
down	GO:0005583	fibrillar collagen trimer	3	3	0,00050225	0,27775	0,30855	0,231	0,262166667	0,317333333	0,222755556	0,185169231	0,206046154	0,216075	0,27009375	0,264	0,233944615	0,245012308	0,23959	0,009826667	0,01608	0,011786667	0,01988	0,017812	0,02541	0,02695	0,03002	0,0316	0,0344	0,0369	0,0396	0,042075	0,05373	0,03184	0,02985	0,0322875	0,02706	0,02829	0,02993	0,03116	0,0328	0,03403	0,00050225	0,000546	0,0005775	0,00066965	0,00066965	0,00072135	0,0007557	0,0008015	0,00085875	0,00092825	0,00097525	0,0010384	0,000708	0,00059	0,000786667	0,000883667	0,0013255	0,001205	0,001586	0,001599	0,001148	0,001148	0,001439333	0,001354667	0,00136	0,001456333	0,002313	0,00172	0,001634	0,001634	0,00215	0,002751	0,002826667	0,0016875	0,00216	0,002466	0,002466	0,0018005	0,0022935	0,001946	0,002726	0,00282	0,002914	0,002397	0,0023265	0,0024055	0,00249375	0,00249375	0,00263625	0,002755	0,0028275	0,0029	0,003045	0,0031175
down	GO:0098643	banded collagen fibril	3	3	0,00050225	0,27775	0,30855	0,231	0,262166667	0,317333333	0,222755556	0,185169231	0,206046154	0,216075	0,27009375	0,264	0,233944615	0,245012308	0,23959	0,009826667	0,01608	0,011786667	0,01988	0,017812	0,02541	0,02695	0,03002	0,0316	0,0344	0,0369	0,0396	0,042075	0,05373	0,03184	0,02985	0,0322875	0,02706	0,02829	0,02993	0,03116	0,0328	0,03403	0,00050225	0,000546	0,0005775	0,00066965	0,00066965	0,00072135	0,0007557	0,0008015	0,00085875	0,00092825	0,00097525	0,0010384	0,000708	0,00059	0,000786667	0,000883667	0,0013255	0,001205	0,001586	0,001599	0,001148	0,001148	0,001439333	0,001354667	0,00136	0,001456333	0,002313	0,00172	0,001634	0,001634	0,00215	0,002751	0,002826667	0,0016875	0,00216	0,002466	0,002466	0,0018005	0,0022935	0,001946	0,002726	0,00282	0,002914	0,002397	0,0023265	0,0024055	0,00249375	0,00249375	0,00263625	0,002755	0,0028275	0,0029	0,003045	0,0031175
down	GO:0005576	extracellular region	69	1356	0,00059	0,543821875	0,518441379	0,53823913	0,382642857	0,337018182	0,222755556	0,185169231	0,206046154	0,21285	0,21285	0,1122	0,06006	0,03036	0,03059	0,009826667	0,01608	0,011786667	0,025205	0,017812	0,033264	0,02695	0,047663333	0,07505	0,0568	0,100274286	0,066	0,087945	0,078936667	0,05373	0,044348571	0,03485	0,02706	0,02829	0,01845	0,03116	0,025283333	0,0164	0,005125	0,0112	0,00735	0,015511667	0,015511667	0,012366	0,008015	0,00458	0,0033892	0,002209	0,001739	0,001121	0,000708	0,00059	0,000786667	0,000883667	0,001847667	0,001205	0,002521333	0,00164	0,001148	0,001148	0,001439333	0,001354667	0,00136	0,001456333	0,00257	0,00172	0,001634	0,001634	0,00215	0,004104667	0,002826667	0,0016875	0,00216	0,002466	0,002466	0,0018005	0,0022935	0,001946	0,0028905	0,005076	0,0034545	0,002397	0,0023265	0,0024055	0,00228	0,00228	0,00106875	0,001392	0,00203	0,00261	0,001595	0,00174
down	GO:0005615	extracellular space	38	560	0,00059	0,559898387	0,633498462	0,603615385	0,653125	0,661696	0,3864	0,2278875	0,284511111	0,33596087	0,27009375	0,198	0,16467	0,07425	0,1034075	0,023737143	0,0326625	0,01768	0,030428571	0,017812	0,02926	0,03003	0,047663333	0,07505	0,044	0,0656	0,062425	0,087945	0,061974286	0,03184	0,02985	0,0246	0,00984	0,003895	0,00615	0,00943	0,0093275	0,00533	0,00082	0,0011025	0,00147	0,0023835	0,0023835	0,0035495	0,00154575	0,00229	0,0033205	0,00182125	0,001739	0,001121	0,000708	0,00059	0,000885	0,0013255	0,00186775	0,0022654	0,0030256	0,0042312	0,00246	0,0028044	0,0038608	0,002286	0,0031875	0,0034952	0,0047288	0,006192	0,00387	0,00387	0,0041796	0,005764	0,00351125	0,0016875	0,0023625	0,0032195	0,0032195	0,0018005	0,0022935	0,001946	0,002726	0,00282	0,002914	0,002397	0,0023265	0,0024055	0,00228	0,00228	0,00106875	0,00145	0,00203	0,00261	0,001595	0,00174
